"id" "name" "zone" 
\N "PARADERO DEL RESIDENCE CANCUN" "1"
NIZUC RESORT AND SPA
THE WESTIN RESORT & SPA CANCUN 
CLUB REGINA
SUN PALACE
OLEO CANCUN
BEL AIR CANCUN
BSEA CANCUN PLAZA
ROYAL SOLARIS
SUITES BRISAS
SOLYMAR
NOW EMERALD CANCÚN
GR SOLARIS
CROWN PARADISE CANCUN
IBEROSTAR CANCUN
SEADUST CANCUN
ROYAL ISLANDER
ROYAL CARIBBEAN
EMPORIO FAMILY SUITES 
OMNI CANCUN
GRAND OASIS  CANCUN FASE 3 (THE PYRAMID) 
FIESTA AMERICANA CONDESA
PARADISUS CANCUN 
MARRIOTT RESORT CANCÚN
J.W. MARRIOT
HARD ROCK HOTEL CANCUN 
SECRETS THE VINE CANCUN
SANDOS CANCUN LIFESTYLE RESORT
GOLDEN PARNASSUS RESORT & SPA
RITZ CARLTON
ROYAL SANDS
OCCIDENTAL TUCANCUN
LIVE AQUA CANCUN
WESTIN LAGUNAMAR OCEAN
PARK ROYAL BEACH CANCUN
MELODY MAKER
BEACH PALACE
NYX  PICK UP EN PARADERO DE BUS BEACH PALACE
CANOPY BY HILTON CANCUN LA ISLA
FLAMINGO CANCUN 
HYATT ZILARA 
WYNDHAM ALLTRA CANCUN (ANTES PANAMA JACK)  
GRAND PARK ROYAL CANCUN CARIBE
LE BLANC
SUNSET ROYAL BEACH RESORT
ROYALTON CHIC SUITES CANCUN 
KRYSTAL CANCUN
KRYSTAL GRAND CANCUN
HYATT ZIVA
FIESTA AMERICANA  CORAL BEACH PICKUP EN LA ARCADA
BASE XCARET
RIU CANCUN
RIU PALACE LAS AMERICAS
FIESTA AMERICANA VILLAS CANCUN
SUNSET MARINA RESORT
CORAL MAR
DREAMS SANDS CANCUN 
BEACHSCAPE KINHA PICK UP PARADERO BUS
PRESIDENTE INTERCONTINENTAL PARADERO BUSES
DOS PLAYAS
RIU PENINSULA CANCUN
RIU CARIBE
REAL INN CANCUN BY CAMINO REAL
CASA MAYA
BREATHLESS CANCUN SOUL RESORT & SPA 
THE ROYAL CANCUN
OASIS PALM BEACH
OCCIDENTAL COSTA CANCUN
AQUAMARINA CANCUN
OCEAN HOTEL & SPA
TEMPTATION
CANCUN BAY RESORT
OCEAN VIEW CANCUN ARENAS
IMPERIAL LAS PERLAS
HOTEL RENAISSANCE CANCUN RESORT AND MARINA
PLAZA MARINA PUERTO CANCUN
DREAMS VISTA CANCUN
MUELLE ULTRAMAR PTO JUAREZ
ALL RITMO CANCUN RESORT & WATERPARK 
GARZA BLANCA RESORT & SPA CANCUN 
VILLAS DEL PALMAR
BELOVED
EXCELLENCE PYA MUJERES
FINEST PLAYA MUJERES
ATELIER LOBBY ESTUDIO
ATELIER LOBBY ATELIER
DREAMS PLAYA MUJERES
SECRETS PLAYA MUJERES
TRS CORAL
PALLADIUM COSTA MUJERES
MAJESTIC ELEGANCE COSTA MUJERES
CATALONIA COSTA MUJERES
PLANET HOLLYWOOD BEACH RESORT CANCUN
RIU PALACE COSTA MUJERES
RIU DUNAMAR
ADHARA HACIENDA CANCUN
HOSTEL AGUA Y FUEGO
WYNDHAM GARDEN CANCUN
OASIS SMART
KRYSTAL URBAN CANCUN CENTRO
FOUR POINTS BY SHERATON CANCUN
MARRIOTT COURTYARD
COMFORT INN CANCUN 
MOON PALACE LOBBY GRAND
MOON PALACE SUNRISE
MOON PALACE NIZUC
CITY EXPRESS PLUS CANCUN
DREAMS NATURA RESORT AND SPA
ROYALTON RIVIERA CANCÚN
HAVEN RIVIERA CANCUN 
HILTON CANCUN 
ZOETRY PARAISO DE LA BONITA
SENSIRA RESORT & SPA RIVIERA MAYA 
MARGARITAVILLE ISLAND 
DESIRE BAHIA PETEMPICH
AZUL BEACH RIVIERA CANCUN
BREATHLESS RIVIERA CANCUN
HYATT ZIVA RIVIERA CANCUN 
OCEAN CORAL & TURQUESA BY H10
DREAMS SAPPHIRE RESORT & SPA 
DREAMS RIVIERA CANCUN
EXCELLENCE RIVIERA
THE FIVES OCEAN FRONT
HACIENDA MORELOS
GRAND RESIDENCES PUERTO MORELOS
DREAMS JADE
EL CID
HOTEL VENTUS PTO MORELOS
